language_type_inferred,video_count,single_track_candidate_count,total_views,top_20_view_rank_count,top_50_view_rank_count,view_share
Lithuanian signal,33,19,97714218,19,33,0.9832
unknown / likely mixed,1,1,1667395,1,1,0.0168
