genre_category,video_count,single_track_candidate_count,total_views,top_20_view_rank_count,top_50_view_rank_count,view_share
pop_alt_pop,6,6,74399745,6,6,0.7787
melodic_hiphop_poprap,7,7,18443611,5,7,0.193
pop_ballad,5,5,2367420,3,5,0.0248
dance_electronic,2,2,334055,1,2,0.0035
