Song Title,Language / Market,Genre / Style,Source Platform,Platform Link,Lyrics Available?,Engagement Available?,Data Source,Notes
Kim Duyar Seni,Turkish / Turkey,Turkish rap / emotional trap / social realism,YouTube,https://www.youtube.com/watch?v=ohYJ1vyuR0Y&list=RDohYJ1vyuR0Y&start_radio=1,Yes,Yes,YouTube public page,Public exploratory sample; single-song; not final dataset.
Hakkımı Sana Helal Ettim,Turkish / Turkey,Turkish pop,YouTube,https://www.youtube.com/watch?v=JCCeDUOUV9U&list=RDJCCeDUOUV9U&start_radio=1,Yes,Yes,YouTube public page,Public exploratory sample; single-song; not final dataset.
Best 4 Energetic Dancable Happy Turkish Songs Ever By AI Suno,Turkish / Turkey,Turkish pop / energetic / danceable,YouTube,https://www.youtube.com/watch?v=0hzEiLsVuWI&list=RD0hzEiLsVuWI&start_radio=1,Partial,Partial,YouTube public page,Public exploratory sample; compilation; video-level engagement.
