genre_category,song_count,top_20_count,top_50_count,top_100_count,top_10_count,weekly_streams,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
pop_alt_pop,174,14,43,87,5,47446460,90.8,1,140,0.8201
kpop_global,7,3,3,4,3,4953242,67.9,1,0,0.0856
melodic_hiphop_poprap,14,2,3,7,1,4021596,128.3,1,11,0.0695
pop_ballad,4,1,1,2,1,1269140,105.0,2,2,0.0219
dance_electronic,1,0,0,0,0,161001,1.0,182,1,0.0028
