source,extraction_date,keyword_source,search_rank,video_id,url,title,channel,view_count,upload_date,duration_seconds,song_type,single_track_candidate,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,genre_category_label,classification_note,youtube_search_view_rank
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,3,uY7oscoVcgs,https://www.youtube.com/watch?v=uY7oscoVcgs,Liên Khúc Italo Disco Megamix 2026 – Top Hits Retro Dance | VietDisco AI,VietDisco AI,587260,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",19
YouTube search via yt-dlp,2026-06-14,V-pop,6,YtpYslRG91U,https://www.youtube.com/watch?v=YtpYslRG91U,"𝗖𝗵𝗶𝗹𝗹𝗶𝗻' 𝗽𝗹𝗮𝘆𝗹𝗶𝘀𝘁 ""Em quay đi ta mất nhau.. Wrong Times | Pin Dự Phòng, Không Buông",manu.,555438,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",20
YouTube search via yt-dlp,2026-06-14,nhạc tình yêu Việt,2,z4QEBsHHwwM,https://www.youtube.com/watch?v=z4QEBsHHwwM,"Playlist#1 Nghe là iu luôn | ""Tình yêu này mang tương tư""",Venn music,501435,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",21
YouTube search via yt-dlp,2026-06-14,nhạc tình yêu Việt,6,PINIFub4rI4,https://www.youtube.com/watch?v=PINIFub4rI4,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 này giúp cậu manifest tình yêu đẹp như lời bài hát..,âm nhạc chữa lành.,475113,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",22
YouTube search via yt-dlp,2026-06-14,V-pop,4,q2Ev43H-nmc,https://www.youtube.com/watch?v=q2Ev43H-nmc,"Playlist Nhạc Trẻ GÂY BÃO TOP TRENDING 2025 - Yêu Một Người Sao Buồn Đến Thế, Những Kẻ Mộng Mơ,..",Mây Lang Thang Music,437871,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",23
YouTube search via yt-dlp,2026-06-14,nhạc Việt,5,ywahOUU8lCQ,https://www.youtube.com/watch?v=ywahOUU8lCQ,Nhạc Trẻ Ballad Việt Hay Nhất 2026 | Lk Nhạc Trẻ Mới Gây Nghiện | Nhạc Việt Hot Nhất Hiện Nay,Chà Là Chill,344091,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",24
YouTube search via yt-dlp,2026-06-14,bài hát Việt Nam,1,wu_Cfd7nmtY,https://www.youtube.com/watch?v=wu_Cfd7nmtY,Việt Nam Việt Nam | Phạm Duy,IAMTHEALPHAMALE,257928,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",25
YouTube search via yt-dlp,2026-06-14,bài hát Việt Nam,4,dOCYQN31IXs,https://www.youtube.com/watch?v=dOCYQN31IXs,"Đêm Nhạc ""Việt Nam Thịnh Vượng 2026"": Nổi Da Gà Với Các Tiết Mục Của Dàn Sao Việt Tham Gia Liveshow",VTV Âm Nhạc,162698,,,live performance,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",26
YouTube search via yt-dlp,2026-06-14,bài hát Việt Nam,6,-yPPjnydECk,https://www.youtube.com/watch?v=-yPPjnydECk,VIỆT NAM VIỆT NAM | Phạm Duy | Hợp Ca - Tình Khúc Bất Hủ Thời Chinh Chiến | Nhạc Vàng Xưa,THEO DẤU GIÀY SÔ ,112303,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",27
YouTube search via yt-dlp,2026-06-14,nhạc tình yêu Việt,3,cWA-jJiX7uY,https://www.youtube.com/watch?v=cWA-jJiX7uY,Những Ca Khúc Nhạc Trẻ Hay Nhất Về Tình Yêu 2025 | Liên Khúc Hơn Cả Yêu - Hạnh Phúc Cuối Cùng,Nhạc Mới Tuyển Chọn,102399,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",28
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,4,uGWhIfmDFhY,https://www.youtube.com/watch?v=uGWhIfmDFhY,TOP NHẠC TRẺ REMIX 2025 | NONSTOP VIỆT MIX 2025 BASS CỰC MẠNH | NHẠC REMIX HAY NHẤT HIỆN NAY,Việt Mix TV,95849,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",29
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,5,UgtUoi_owxk,https://www.youtube.com/watch?v=UgtUoi_owxk,NHẠC TREND TIKTOK REMIX 2026 | NONSTOP 2026 VIỆT MIX BASS CỰC MẠNH | NHẠC TRẺ REMIX HAY NHẤT 2026,Việt Mix TV,91397,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",30
YouTube search via yt-dlp,2026-06-14,nhạc Việt,2,kAhR0OYZ_X4,https://www.youtube.com/watch?v=kAhR0OYZ_X4,Nhạc Trẻ Ballad Việt Hay Nhất 2026 | Lk Nhạc Trẻ Mới Gây Nghiện | Nhạc Việt Hot Nhất Hiện Nay,Miu Music,77594,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",31
YouTube search via yt-dlp,2026-06-14,nhạc Việt,1,oa34EWjGF-o,https://www.youtube.com/watch?v=oa34EWjGF-o,Nhạc Trẻ Ballad Việt Hay Nhất 2026 | Lk Nhạc Trẻ Mới Gây Nghiện | Nhạc Việt Hot Nhất Hiện Nay,Miu Music,49114,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",32
YouTube search via yt-dlp,2026-06-14,nhạc tình yêu Việt,5,EbnW8Rqjs34,https://www.youtube.com/watch?v=EbnW8Rqjs34,Mảnh Ghép Lương Duyên - Nhạc Tình Yêu Ballad Việt Hay Nhất 2025 | LK Nhạc Tình Yêu Hay Nhất Hiện Nay,Bản Nhạc Này Chill Phết,31869,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",33
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,6,7_Uebs-UwdM,https://www.youtube.com/watch?v=7_Uebs-UwdM,NONSTOP 2026 BAY PHÒNG BASS CỰC MẠNH ✈️ NHẠC SÀN VINAHOUSE DJ MIXTAPE 2026 ✈️ NHẠC REMIX CỰC MẠNH P8,Mee Remix,26770,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",34
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,1,ZoxSI6E0G9w,https://www.youtube.com/watch?v=ZoxSI6E0G9w,NHẠC TREND TIKTOK REMIX 2026 | NONSTOP 2026 VIỆT MIX BASS CỰC MẠNH | NHẠC TRẺ REMIX HAY NHẤT 2026,Việt Mix TV,4476,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",35
