language_type_inferred,song_count,top_20_count,top_50_count,top_100_count,top_10_count,view_count,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
Vietnamese / local artist,34,19,34,34,9,268494094,0.0,,34,0.992
English / international or unknown,1,1,1,1,1,2176558,0.0,,0,0.008
