genre_category,song_count,top_20_count,top_50_count,top_100_count,top_10_count,view_count,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
dance_electronic,8,6,8,8,4,167092654,0.0,,8,0.7969
pop_alt_pop,6,4,6,6,2,20539219,0.0,,6,0.098
folk_traditional,4,4,4,4,3,17179019,0.0,,4,0.0819
melodic_hiphop_poprap,6,5,6,6,1,4570346,0.0,,5,0.0218
pop_ballad,4,1,4,4,0,289452,0.0,,4,0.0014
