language_type_inferred,song_count,top_20_count,top_50_count,top_100_count,top_10_count,view_count,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
Polish / local artist,27,19,27,27,10,209346158,0.0,,27,0.9985
English / international or unknown,1,1,1,1,0,324532,0.0,,0,0.0015
