language_type_inferred,song_count,top_20_count,top_50_count,top_100_count,top_10_count,weekly_streams,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
English / international or unknown,138,13,35,68,9,56639139,53.6,1,0,0.6925
Polish / local artist,62,7,15,32,1,25156050,48.7,1,62,0.3075
