genre_category,song_count,top_20_count,top_50_count,top_100_count,top_10_count,weekly_streams,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
pop_alt_pop,153,11,34,72,5,147172950,41.0,1,138,0.7259
melodic_hiphop_poprap,29,7,10,18,3,35768072,23.0,1,20,0.1764
pop_ballad,12,1,3,6,1,12315096,36.4,1,12,0.0607
dance_electronic,5,1,3,3,1,6655691,17.8,5,5,0.0328
rock_alternative,1,0,0,1,0,836579,19.0,1,1,0.0041
