genre_category,song_count,top_20_count,top_50_count,top_100_count,top_10_count,view_count,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
pop_alt_pop,10,8,10,10,5,1544192549,0.0,,10,0.4916
melodic_hiphop_poprap,7,6,7,7,3,1025529907,0.0,,7,0.3265
dance_electronic,7,4,7,7,2,508815208,0.0,,7,0.162
pop_ballad,5,2,5,5,0,62636695,0.0,,5,0.0199
