language_type_inferred,song_count,top_20_count,top_50_count,top_100_count,top_10_count,weekly_streams,avg_weeks_on_chart,best_peak_rank,local_signal_count,share
Turkish / local artist,176,17,45,88,10,180396714,39.7,1,176,0.8898
English / international or unknown,24,3,5,12,0,22351674,20.6,1,0,0.1102
